IPORIGEN,IPDESTINO,DNS/FLAGS
192.168.100.65,45.57.8.1,occ-0-3142-1380.1.nflxso.net
192.168.100.65,45.57.8.1,occ-0-3142-1380.1.nflxso.net
192.168.100.65,204.8.99.146,0x0011
204.8.99.146,192.168.100.65,0x0011
192.168.100.65,204.8.99.146,0x0011
192.168.100.65,104.18.32.137,0x0011
104.18.32.137,192.168.100.65,0x0011
45.57.8.1,192.168.100.65,occ-0-3142-1380.1.nflxso.net
45.57.8.1,192.168.100.65,occ-0-3142-1380.1.nflxso.net
204.8.99.146,192.168.100.65,0x0011
192.168.100.65,204.8.99.146,0x0011
192.168.100.65,199.19.57.1,www.kali.org
192.168.100.65,199.19.56.1,www.kali.org
199.19.57.1,192.168.100.65,www.kali.org
199.19.56.1,192.168.100.65,www.kali.org
192.168.100.65,162.159.3.11,nash.ns.cloudflare.com
192.168.100.65,162.159.8.55,nash.ns.cloudflare.com
162.159.3.11,192.168.100.65,nash.ns.cloudflare.com
192.168.100.65,108.162.193.209,www.kali.org
162.159.8.55,192.168.100.65,nash.ns.cloudflare.com
192.168.100.65,172.64.33.209,www.kali.org
172.64.33.209,192.168.100.65,www.kali.org
108.162.193.209,192.168.100.65,www.kali.org
192.168.100.65,104.18.4.159,0x0011
104.18.4.159,192.168.100.65,0x0011
192.168.100.65,216.239.34.10,encrypted-tbn2.gstatic.com
192.168.100.65,216.239.32.10,encrypted-tbn2.gstatic.com
216.239.32.10,192.168.100.65,encrypted-tbn2.gstatic.com
216.239.34.10,192.168.100.65,encrypted-tbn2.gstatic.com
192.168.100.65,216.239.32.10,update.googleapis.com
216.239.32.10,192.168.100.65,update.googleapis.com
45.57.91.1,192.168.100.65,0x0011
192.168.100.65,45.57.91.1,0x0011
192.168.100.65,192.42.93.30,ae.nflximg.net
192.168.100.65,192.33.14.30,ae.nflximg.net
192.33.14.30,192.168.100.65,ae.nflximg.net
192.168.100.65,205.251.194.101,ae.nflximg.net
205.251.194.101,192.168.100.65,ae.nflximg.net
192.42.93.30,192.168.100.65,ae.nflximg.net
192.168.100.65,216.239.32.10,fonts.googleapis.com
216.239.32.10,192.168.100.65,fonts.googleapis.com
192.168.100.65,172.217.192.94,0x0011
172.217.192.94,192.168.100.65,0x0011
192.168.100.65,205.251.192.81,ichnaea-web.netflix.com
192.168.100.65,205.251.192.81,ichnaea-web.netflix.com
192.168.100.65,216.239.38.10,www.googletagmanager.com
192.168.100.65,216.239.38.10,www.googletagmanager.com
205.251.192.81,192.168.100.65,ichnaea-web.netflix.com
205.251.192.81,192.168.100.65,ichnaea-web.netflix.com
192.168.100.65,45.57.8.1,ichnaea-web.dradis.netflix.com
192.168.100.65,45.57.9.1,ichnaea-web.dradis.netflix.com
192.168.100.65,192.26.92.30,analytics.tiktok.com
192.168.100.65,192.26.92.30,analytics.tiktok.com
45.57.8.1,192.168.100.65,ichnaea-web.dradis.netflix.com
45.57.9.1,192.168.100.65,ichnaea-web.dradis.netflix.com
192.168.100.65,45.57.8.1,ichnaea-web.us-east-1.internal.dradis.netflix.com
192.168.100.65,45.57.9.1,ichnaea-web.us-east-1.internal.dradis.netflix.com
216.239.38.10,192.168.100.65,www.googletagmanager.com
216.239.38.10,192.168.100.65,www.googletagmanager.com
45.57.9.1,192.168.100.65,ichnaea-web.us-east-1.internal.dradis.netflix.com
45.57.8.1,192.168.100.65,ichnaea-web.us-east-1.internal.dradis.netflix.com
192.168.100.65,205.251.197.6,apiproxy-log-nlb-72c5f7ae51b322e8.elb.us-east-1.amazonaws.com
192.168.100.65,205.251.197.6,apiproxy-log-nlb-72c5f7ae51b322e8.elb.us-east-1.amazonaws.com
192.26.92.30,192.168.100.65,analytics.tiktok.com
192.168.100.65,23.211.133.65,analytics.tiktok.com
192.26.92.30,192.168.100.65,analytics.tiktok.com
192.168.100.65,23.211.133.65,analytics.tiktok.com
205.251.197.6,192.168.100.65,apiproxy-log-nlb-72c5f7ae51b322e8.elb.us-east-1.amazonaws.com
23.211.133.65,192.168.100.65,analytics.tiktok.com
23.211.133.65,192.168.100.65,analytics.tiktok.com
192.168.100.65,192.33.14.30,analytics.tiktok.com.ttdns2.com
192.168.100.65,192.26.92.30,analytics.tiktok.com.ttdns2.com
205.251.197.6,192.168.100.65,apiproxy-log-nlb-72c5f7ae51b322e8.elb.us-east-1.amazonaws.com
192.33.14.30,192.168.100.65,analytics.tiktok.com.ttdns2.com
192.168.100.65,71.18.255.166,analytics.tiktok.com.ttdns2.com
192.26.92.30,192.168.100.65,analytics.tiktok.com.ttdns2.com
192.168.100.65,130.44.212.252,analytics.tiktok.com.ttdns2.com
130.44.212.252,192.168.100.65,analytics.tiktok.com.ttdns2.com
192.168.100.65,96.7.50.66,analytics.tiktok.com.edgekey.net
71.18.255.166,192.168.100.65,analytics.tiktok.com.ttdns2.com
192.168.100.65,96.7.50.66,analytics.tiktok.com.edgekey.net
96.7.50.66,192.168.100.65,analytics.tiktok.com.edgekey.net
96.7.50.66,192.168.100.65,analytics.tiktok.com.edgekey.net
192.168.100.65,192.26.92.30,analytics.tiktok.com.bytewlb.akadns.net
192.168.100.65,192.54.112.30,analytics.tiktok.com.bytewlb.akadns.net
192.26.92.30,192.168.100.65,analytics.tiktok.com.bytewlb.akadns.net
192.168.100.65,2.16.40.130,analytics.tiktok.com.bytewlb.akadns.net
192.54.112.30,192.168.100.65,analytics.tiktok.com.bytewlb.akadns.net
192.168.100.65,23.61.245.129,analytics.tiktok.com.bytewlb.akadns.net
23.61.245.129,192.168.100.65,analytics.tiktok.com.bytewlb.akadns.net
192.168.100.65,2.16.40.192,e35058.api14.akamaiedge.net
2.16.40.130,192.168.100.65,analytics.tiktok.com.bytewlb.akadns.net
192.168.100.65,95.100.173.192,e35058.api14.akamaiedge.net
95.100.173.192,192.168.100.65,e35058.api14.akamaiedge.net
192.168.100.65,23.213.29.4,e35058.api14.akamaiedge.net
23.213.29.4,192.168.100.65,e35058.api14.akamaiedge.net
2.16.40.192,192.168.100.65,e35058.api14.akamaiedge.net
192.168.100.65,88.221.81.192,e35058.api14.akamaiedge.net
88.221.81.192,192.168.100.65,e35058.api14.akamaiedge.net
192.168.100.65,192.42.93.30,www.facebook.com
192.168.100.65,192.26.92.30,www.facebook.com
192.26.92.30,192.168.100.65,www.facebook.com
192.168.100.65,185.89.218.12,www.facebook.com
185.89.218.12,192.168.100.65,www.facebook.com
192.42.93.30,192.168.100.65,www.facebook.com
192.168.100.65,129.134.31.12,star-mini.c10r.facebook.com
129.134.31.12,192.168.100.65,star-mini.c10r.facebook.com
192.168.100.65,202.12.27.33,www.google.cl
192.168.100.65,192.203.230.10,www.google.cl
192.203.230.10,192.168.100.65,www.google.cl
192.168.100.65,185.159.198.56,www.google.cl
185.159.198.56,192.168.100.65,www.google.cl
