IP Origen,IP Destino/Dominio,Protocolo
192.168.100.65,64.233.190.102,UDP
192.168.100.65,64.233.190.102,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
192.168.100.65,64.233.190.104,UDP
192.168.100.65,64.233.190.104,UDP
64.233.190.102,192.168.100.65,UDP
64.233.190.102,192.168.100.65,UDP
64.233.190.102,192.168.100.65,UDP
64.233.190.102,192.168.100.65,UDP
64.233.190.102,192.168.100.65,UDP
64.233.190.102,192.168.100.65,UDP
64.233.190.102,192.168.100.65,UDP
64.233.190.102,192.168.100.65,UDP
192.168.100.65,64.233.190.102,UDP
192.168.100.65,64.233.190.102,UDP
192.168.100.65,64.233.190.102,UDP
192.168.100.65,64.233.190.102,UDP
192.168.100.65,64.233.190.102,UDP
64.233.190.102,192.168.100.65,UDP
64.233.190.102,192.168.100.65,UDP
64.233.190.102,192.168.100.65,UDP
64.233.190.102,192.168.100.65,UDP
64.233.190.102,192.168.100.65,UDP
192.168.100.65,64.233.190.102,UDP
192.168.100.65,64.233.190.102,UDP
64.233.190.104,192.168.100.65,UDP
192.168.100.65,64.233.190.102,UDP
64.233.190.102,192.168.100.65,UDP
192.168.100.65,40.119.6.228,UDP
64.233.190.102,192.168.100.65,UDP
192.168.100.65,64.233.190.102,UDP
40.119.6.228,192.168.100.65,UDP
192.168.100.65,64.233.190.104,UDP
64.233.190.104,192.168.100.65,UDP
192.168.100.65,64.233.190.104,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
64.233.190.104,192.168.100.65,UDP
