IP Origen,IP Destino/Dominio,Tipo
192.168.100.65,encrypted-tbn2.gstatic.com,TIPO DNS
192.168.100.65,encrypted-tbn2.gstatic.com,TIPO DNS
216.239.32.10,encrypted-tbn2.gstatic.com,TIPO DNS
216.239.34.10,encrypted-tbn2.gstatic.com,TIPO DNS
192.168.100.65,update.googleapis.com,TIPO DNS
216.239.32.10,update.googleapis.com,TIPO DNS
45.57.91.1,192.168.100.65,TIPO FIN-ACK
192.168.100.65,45.57.91.1,TIPO FIN-ACK
192.168.100.65,ae.nflximg.net,TIPO DNS
192.168.100.65,ae.nflximg.net,TIPO DNS
192.33.14.30,ae.nflximg.net,TIPO DNS
192.168.100.65,ae.nflximg.net,TIPO DNS
205.251.194.101,ae.nflximg.net,TIPO DNS
192.42.93.30,ae.nflximg.net,TIPO DNS
192.168.100.65,fonts.googleapis.com,TIPO DNS
216.239.32.10,fonts.googleapis.com,TIPO DNS
192.168.100.65,172.217.192.94,TIPO FIN-ACK
172.217.192.94,192.168.100.65,TIPO FIN-ACK
192.168.100.65,ichnaea-web.netflix.com,TIPO DNS
192.168.100.65,ichnaea-web.netflix.com,TIPO DNS
192.168.100.65,www.googletagmanager.com,TIPO DNS
192.168.100.65,www.googletagmanager.com,TIPO DNS
205.251.192.81,ichnaea-web.netflix.com,TIPO DNS
205.251.192.81,ichnaea-web.netflix.com,TIPO DNS
192.168.100.65,ichnaea-web.dradis.netflix.com,TIPO DNS
192.168.100.65,ichnaea-web.dradis.netflix.com,TIPO DNS
192.168.100.65,analytics.tiktok.com,TIPO DNS
192.168.100.65,analytics.tiktok.com,TIPO DNS
45.57.8.1,ichnaea-web.dradis.netflix.com,TIPO DNS
45.57.9.1,ichnaea-web.dradis.netflix.com,TIPO DNS
192.168.100.65,ichnaea-web.us-east-1.internal.dradis.netflix.com,TIPO DNS
192.168.100.65,ichnaea-web.us-east-1.internal.dradis.netflix.com,TIPO DNS
216.239.38.10,www.googletagmanager.com,TIPO DNS
216.239.38.10,www.googletagmanager.com,TIPO DNS
45.57.9.1,ichnaea-web.us-east-1.internal.dradis.netflix.com,TIPO DNS
45.57.8.1,ichnaea-web.us-east-1.internal.dradis.netflix.com,TIPO DNS
192.168.100.65,apiproxy-log-nlb-72c5f7ae51b322e8.elb.us-east-1.amazonaws.com,TIPO DNS
192.168.100.65,apiproxy-log-nlb-72c5f7ae51b322e8.elb.us-east-1.amazonaws.com,TIPO DNS
192.26.92.30,analytics.tiktok.com,TIPO DNS
192.168.100.65,analytics.tiktok.com,TIPO DNS
192.26.92.30,analytics.tiktok.com,TIPO DNS
192.168.100.65,analytics.tiktok.com,TIPO DNS
205.251.197.6,apiproxy-log-nlb-72c5f7ae51b322e8.elb.us-east-1.amazonaws.com,TIPO DNS
23.211.133.65,analytics.tiktok.com,TIPO DNS
23.211.133.65,analytics.tiktok.com,TIPO DNS
192.168.100.65,analytics.tiktok.com.ttdns2.com,TIPO DNS
192.168.100.65,analytics.tiktok.com.ttdns2.com,TIPO DNS
205.251.197.6,apiproxy-log-nlb-72c5f7ae51b322e8.elb.us-east-1.amazonaws.com,TIPO DNS
192.33.14.30,analytics.tiktok.com.ttdns2.com,TIPO DNS
192.168.100.65,analytics.tiktok.com.ttdns2.com,TIPO DNS
192.26.92.30,analytics.tiktok.com.ttdns2.com,TIPO DNS
192.168.100.65,analytics.tiktok.com.ttdns2.com,TIPO DNS
130.44.212.252,analytics.tiktok.com.ttdns2.com,TIPO DNS
192.168.100.65,analytics.tiktok.com.edgekey.net,TIPO DNS
71.18.255.166,analytics.tiktok.com.ttdns2.com,TIPO DNS
192.168.100.65,analytics.tiktok.com.edgekey.net,TIPO DNS
96.7.50.66,analytics.tiktok.com.edgekey.net,TIPO DNS
96.7.50.66,analytics.tiktok.com.edgekey.net,TIPO DNS
192.168.100.65,analytics.tiktok.com.bytewlb.akadns.net,TIPO DNS
192.168.100.65,analytics.tiktok.com.bytewlb.akadns.net,TIPO DNS
192.26.92.30,analytics.tiktok.com.bytewlb.akadns.net,TIPO DNS
192.168.100.65,analytics.tiktok.com.bytewlb.akadns.net,TIPO DNS
192.54.112.30,analytics.tiktok.com.bytewlb.akadns.net,TIPO DNS
192.168.100.65,analytics.tiktok.com.bytewlb.akadns.net,TIPO DNS
23.61.245.129,analytics.tiktok.com.bytewlb.akadns.net,TIPO DNS
192.168.100.65,e35058.api14.akamaiedge.net,TIPO DNS
2.16.40.130,analytics.tiktok.com.bytewlb.akadns.net,TIPO DNS
192.168.100.65,e35058.api14.akamaiedge.net,TIPO DNS
95.100.173.192,e35058.api14.akamaiedge.net,TIPO DNS
192.168.100.65,e35058.api14.akamaiedge.net,TIPO DNS
23.213.29.4,e35058.api14.akamaiedge.net,TIPO DNS
2.16.40.192,e35058.api14.akamaiedge.net,TIPO DNS
192.168.100.65,e35058.api14.akamaiedge.net,TIPO DNS
88.221.81.192,e35058.api14.akamaiedge.net,TIPO DNS
192.168.100.65,www.facebook.com,TIPO DNS
192.168.100.65,www.facebook.com,TIPO DNS
192.26.92.30,www.facebook.com,TIPO DNS
192.168.100.65,www.facebook.com,TIPO DNS
185.89.218.12,www.facebook.com,TIPO DNS
192.42.93.30,www.facebook.com,TIPO DNS
192.168.100.65,star-mini.c10r.facebook.com,TIPO DNS
129.134.31.12,star-mini.c10r.facebook.com,TIPO DNS
192.168.100.65,www.google.cl,TIPO DNS
192.168.100.65,www.google.cl,TIPO DNS
192.203.230.10,www.google.cl,TIPO DNS
192.168.100.65,www.google.cl,TIPO DNS
185.159.198.56,www.google.cl,TIPO DNS
192.168.100.65,www.google.cl,TIPO DNS
216.239.34.10,www.google.cl,TIPO DNS
202.12.27.33,www.google.cl,TIPO DNS
192.168.100.65,www.google.cl,TIPO DNS
216.239.38.10,www.google.cl,TIPO DNS
192.168.100.65,privacyportal.onetrust.com,TIPO DNS
192.168.100.65,privacyportal.onetrust.com,TIPO DNS
173.245.59.104,privacyportal.onetrust.com,TIPO DNS
108.162.192.221,privacyportal.onetrust.com,TIPO DNS
192.168.100.65,34.195.42.24,TIPO FIN-ACK
192.168.100.65,64.233.190.103,TIPO FIN-ACK
192.168.100.65,172.217.192.94,TIPO FIN-ACK
192.168.100.65,104.18.42.137,TIPO FIN-ACK
192.168.100.65,172.65.251.78,TIPO FIN-ACK
192.168.100.65,172.217.192.95,TIPO FIN-ACK
192.168.100.65,157.240.204.35,TIPO FIN-ACK
192.168.100.65,172.217.192.94,TIPO FIN-ACK
192.168.100.65,104.16.80.73,TIPO FIN-ACK
192.168.100.65,54.160.93.182,TIPO FIN-ACK
