IP Origen,IP Destino/Dominio,Tipo
142.250.0.94,192.168.100.65,TCP FIN-ACK
157.240.204.35,192.168.100.65,TCP FIN-ACK
23.51.159.115,192.168.100.65,TCP FIN-ACK
23.51.159.115,192.168.100.65,TCP FIN-ACK
142.251.0.119,192.168.100.65,TCP FIN-ACK
64.233.190.105,192.168.100.65,TCP FIN-ACK
172.64.155.119,192.168.100.65,TCP FIN-ACK
64.233.186.155,192.168.100.65,TCP FIN-ACK
172.217.192.94,192.168.100.65,TCP FIN-ACK
108.177.123.157,192.168.100.65,TCP FIN-ACK
172.65.251.78,192.168.100.65,TCP FIN-ACK
64.233.190.94,192.168.100.65,TCP FIN-ACK
172.65.251.78,192.168.100.65,TCP FIN-ACK
64.233.190.94,192.168.100.65,TCP FIN-ACK
142.251.0.138,192.168.100.65,TCP FIN-ACK
142.251.0.207,192.168.100.65,TCP FIN-ACK
34.120.22.49,192.168.100.65,TCP FIN-ACK
172.217.192.95,192.168.100.65,TCP FIN-ACK
142.250.0.95,192.168.100.65,TCP FIN-ACK
104.18.32.137,192.168.100.65,TCP FIN-ACK
64.233.186.97,192.168.100.65,TCP FIN-ACK
104.18.4.159,192.168.100.65,TCP FIN-ACK
172.217.192.95,192.168.100.65,TCP FIN-ACK
23.51.159.115,192.168.100.65,TCP FIN-ACK
23.51.159.115,192.168.100.65,TCP FIN-ACK
23.51.159.115,192.168.100.65,TCP FIN-ACK
23.51.159.115,192.168.100.65,TCP FIN-ACK
104.16.80.73,192.168.100.65,TCP FIN-ACK
23.51.159.115,192.168.100.65,TCP FIN-ACK
104.16.80.73,192.168.100.65,TCP FIN-ACK
104.18.42.137,192.168.100.65,TCP FIN-ACK
104.18.40.188,192.168.100.65,TCP FIN-ACK
152.231.111.106,192.168.100.65,TCP FIN-ACK
152.231.111.106,192.168.100.65,TCP FIN-ACK
152.231.111.106,192.168.100.65,TCP FIN-ACK
152.231.111.106,192.168.100.65,TCP FIN-ACK
152.231.111.106,192.168.100.65,TCP FIN-ACK
152.231.111.106,192.168.100.65,TCP FIN-ACK
45.57.91.1,192.168.100.65,TCP FIN-ACK
45.57.91.1,192.168.100.65,TCP FIN-ACK
45.57.91.1,192.168.100.65,TCP FIN-ACK
45.57.91.1,192.168.100.65,TCP FIN-ACK
45.57.91.1,192.168.100.65,TCP FIN-ACK
3.230.56.88,192.168.100.65,TCP FIN-ACK
3.230.56.88,192.168.100.65,TCP FIN-ACK
54.160.93.182,192.168.100.65,TCP FIN-ACK
34.195.42.24,192.168.100.65,TCP FIN-ACK
3.211.157.115,192.168.100.65,TCP FIN-ACK
34.195.42.24,192.168.100.65,TCP FIN-ACK
54.160.93.182,192.168.100.65,TCP FIN-ACK
192.168.100.65,trafficapi.nl,DNS
